title,genres,original_language,overview,popularity,production_companies,release_date,budget,runtime,status,tagline,vote_average,vote_count,keywords,adult,production_countries,spoken_languages,actor_1_popularity,actor_2_popularity,actor_3_popularity,mpaa_rating,revenue
Spider-Man: Homecoming,Action-Adventure-Science Fiction-Drama,en,Following the events of Captain America: Civil War Peter Parker with the help of his mentor Tony Stark tries to balance his life as an ordinary high school student in Queens New York City with fighting crime as his superhero alter ego Spider-Man as a new threat the Vulture emerges.,117.558,Marvel Studios-Pascal Pictures-LStar Capital,2017-07-05,18.980296531887788,133.0,Released,Homework can wait. The city can't.,7.345,20181.0,new york city-washington dc usa-high school-superhero-based on comic-reboot-marvel cinematic universe (mcu),0.0,United States of America,English,9.1629,4.3944,13.1999,PG-13,20.59562213381198
Wish Upon,Horror-Thriller-Fantasy,en,A teenage girl discovers a box with magical powers but those powers comes with a deadly price.,18.961,Orion Pictures-Broad Green Pictures-Busted Shark Productions,2017-07-07,16.300417207752275,90.0,Released,Be careful what you wish for,5.6,1163.0,magic-wish fulfillment,0.0,"Canada, United States of America",English,5.804,4.0214,2.2397,PG-13,16.47587533444754
The Humanity Bureau,Action-Science Fiction-Adventure,en,In 2030 the world is in a permanent state of economic recession and facing serious environmental problems as a result of global warming.,14.387,"Minds Eye Entertainment, VMI Worldwide, Bridgegate Pictures",2017-07-11,15.60727002719233,94.0,Released,In the near future our government will decide who is expendable.,4.8,298.0,dystopia,0.0,United States of America,English,7.2294,1.1382,0.9832,R,16.680232429952355
War for the Planet of the Apes,Drama-Science Fiction-War,en,Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.,47.623000000000005,20th Century Fox-TSG Entertainment-Chernin Entertainment,2017-07-11,18.82614585206053,140.0,Released,For freedom. For family. For the planet.,7.166,8171.0,suicide-based on novel or book-slavery-sequel-anthropomorphism-revenge-ape-avalanche-virus-father son relationship-2040s,0.0,"Canada, United States of America, New Zealand",English,3.979,8.2952,4.734,PG-13,20.01138377536629
Dead Trigger,Action-Horror,en,2021 - 5 years after the outbreak of a mysterious virus that turned humans into bloodthirsty undead beasts much of the world’s population has been decimated. When governments were unable to keep the disease at bay the Contagion Special Unit was formed with the toughest soldiers and best specialists to fight the infected. Because of the rapidly decreasing number of soldiers a popular online video game Dead Trigger that mirrors the terrifying events was created. The best efforts of the gamers are monitored by the CSU who recruit the highest rated zombie killers. The young recruits are called “Dead Triggers”. The movie follows a group of young recruits who must travel to the origin of the outbreak to find a missing team of scientists who were searching for a cure.,9.261,Aldamisa Entertainment-Badhouse Studios Mexico-Distant Shore Films-Tadross Media Group,2017-07-19,16.11809565095832,92.0,Released,Based on the Hit First-Person Shooter Game,3.7,33.0,based on video game-zombie apocalypse-virus,0.0,United States of America,English,5.0127,1.2895,1.0167,R,11.928294698243633
Valerian and the City of a Thousand Planets,Adventure-Science Fiction-Action,en,In the 28th century Valerian and Laureline are special operatives charged with keeping order throughout the human territories. On assignment from the Minister of Defense the two undertake a mission to Alpha an ever-expanding metropolis where species from across the universe have converged over centuries to share knowledge intelligence and cultures. At the center of Alpha is a mysterious dark force which threatens the peaceful existence of the City of a Thousand Planets and Valerian and Laureline must race to identify the menace and safeguard not just Alpha but the future of the universe.,44.571000000000005,BNP Paribas-Belga Films-River Road Entertainment-Grive Productions-EuropaCorp-UFA-Fundamental Films-Gulf Film-Novo Pictures-TF1 Films Production-Orange Studio,2017-07-20,18.992789596135253,136.0,Released,A universe without boundaries needs heroes without limits.,6.629,6714.0,shapeshifting-future-utopia-space travel-based on comic-alien-alien planet-energy-alien abduction-genocide-parallel world-political intrigue -pacifist-space opera-military-government agent-marketplace-trapped in space-federal government-unity-cosmopolis,0.0,"Belgium, Canada, China, France, Germany, United Arab Emirates, United States of America","French, English",3.6057,2.2675,3.7364,PG-13,19.235927585676418
The Emoji Movie,Animation-Family-Comedy,en,Gene a multi-expressional emoji sets out on a journey to become a normal emoji.,40.256,Columbia Pictures-Sony Pictures Animation-Beaver House Studios (KR),2017-07-23,17.72753356339242,86.0,Released,Not easy being meh,5.5,2681.0,parody-3d animation,0.0,United States of America,English,2.5484,2.4112,4.7318,PG,19.19499229519432
The Battleship Island,Action-History-Drama,ko,During the Japanese colonial era roughly 400 Korean people who were forced onto Battleship Island (‘Hashima Island’) to mine for coal attempt to escape.,21.573,CJ Entertainment-Filmmaker R&K-filmK,2017-07-26,16.860032995687696,132.0,Released,1945 Hashima. We called it hell on earth.,7.239,218.0,forced labour-korean resistance-japanese occupation of korea,0.0,South Korea,"Korean, Japanese",2.1125,0.0,3.0719,PG-13,17.64813061602861
The Son of Bigfoot,Family-Animation-Comedy,en,Teenage outsider Adam sets out on an epic and daring quest to uncover the mystery behind his long-lost dad only to find out that he is none other than the legendary Bigfoot! He has been hiding deep in the forest for years to protect himself and his family from HairCo. a giant corporation eager to run scientific experiments with his special DNA. As father and son start making up for lost time after the boy's initial disbelief Adam soon discovers that he too is gifted with superpowers beyond his imagination. But little do they know HairCo. is on their tail as Adam's traces have led them to Bigfoot!,23.928,StudioCanal-Belga Films-nWave Pictures-Illuminata Pictures-Belga Productions-Belga Films Fund,2017-07-26,17.216707939626428,92.0,Released,Meet the wildest family around!,6.6,407.0,bigfoot-villain-forest-father-laboratory-anthropomorphism,0.0,"Belgium, United States of America",English,0.3069,0.3999,1.5512,PG,17.65221757880848
Atomic Blonde,Action-Adventure-Thriller,en,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,34.443000000000005,Focus Features-Denver & Delilah Films-87Eleven-Sierra/Affinity-Closed on Mondays Entertainment-TGIM Films-Film i Väst,2017-07-26,17.216707939626428,115.0,Released,Talents can be overrated.,6.422000000000001,6088.0,berlin germany-undercover agent-undercover-germany-spy-cold war-stasi-bisexuality-vodka-kgb-europe-double agent-based on comic-murder-mi6-murder investigation-ddr,0.0,"Sweden, Germany, Hungary, United States of America","Swedish, English, German, Russian",6.9217,6.0702,2.1454,R,18.420680743952367
Detroit,Crime-Drama-Thriller-History,en,A police raid in Detroit in 1967 results in one of the largest citizens' uprisings in the history of the United States.,13.137,Annapurna Pictures-First Light-Page 1,2017-07-28,17.341871082580436,143.0,Released,It's time we knew,7.325,1439.0,fire-police brutality-church choir-based on true story-murder-beating-racism-church-detroit michigan-1960s,0.0,United States of America,English,2.4339,3.9619,4.0637,R,16.966325933647564
An Inconvenient Sequel: Truth to Power,Documentary,en,A decade after An Inconvenient Truth brought climate change into the heart of popular culture comes the riveting and rousing follow-up that shows just how close we are to a real energy revolution. Vice President Al Gore continues his tireless fight traveling around the world training an army of climate champions and influencing international climate policy. Cameras follow him behind the scenes—in moments private and public funny and poignant—as he pursues the empowering notion that while the stakes have never been higher the perils of climate change can be overcome with human ingenuity and passion.,10.017,Participant-Actual Films,2017-07-28,13.815510557964274,100.0,Released,Fight like your world depends on it,6.7,138.0,climate change-global warming-apocalypse-ecology-environmentalism-climate crisis,0.0,United States of America,English,0.8692,1.6824,3.411,PG,15.5017198639229
The Dark Tower,Fantasy-Action-Science Fiction,en,A boy haunted by visions of a parallel world aids its disillusioned guardian in preventing the destruction of the nexus of universes known as the Dark Tower.,72.381,Columbia Pictures-MRC-Imagine Entertainment-Weed Road Pictures,2017-08-03,17.909855120186375,95.0,Released,There are other worlds than these,5.7,4817.0,mind control-gunslinger-based on novel or book-portal-parallel world-another world,0.0,"South Africa, United States of America",English,5.5637,6.0604,0.8831,PG-13,18.544941226690014
Annabelle: Creation,Horror-Mystery-Thriller,en,Several years after the tragic death of their little girl a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home soon becoming the target of the doll maker's possessed creation—Annabelle.,47.554,Atomic Monster-New Line Cinema-The Safran Company-Warner Bros. Pictures,2017-08-03,16.523560759066484,110.0,Released,You don't know the real story,6.6,5109.0,prequel-evil doll-demon-spin off-demonic possession-ghost-aftercreditsstinger-duringcreditsstinger,0.0,United States of America,"English, Spanish",0.872,0.767,2.8128,R,19.540780135815023
Wind River,Crime-Drama-Mystery-Thriller,en,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,23.856,Wild Bunch-Thunder Road-Voltage Pictures-Film 44-Star Thrower Entertainment-The Fyzz-Acacia Filmed Entertainment-Riverstone Pictures-Synergics Films-Savvy Media Holdings-Tunica-Biloxi Tribe of Louisiana,2017-08-03,16.213405830762646,107.0,Released,Nothing is harder to track than the truth.,7.4,4492.0,rape-wyoming usa-mountain-gun-fbi-investigation-forest-murder-native american-shootout-photograph-native american reservation-binoculars-rape and revenge-snowmobile,0.0,"France, United Kingdom, United States of America",English,4.4116,5.9076,2.037,R,17.622134202535683
A Bad Moms Christmas,Comedy,en,Amy Kiki and Carla – three under-appreciated and over-burdened women – rebel against the challenges and expectations of the Super Bowl for mothers: Christmas. And if creating a more perfect holiday for their families wasn’t hard enough they have to do all of that while hosting and entertaining their own mothers.,39.157,STXfilms-Robert Simonds Productions-Suzanne Todd Productions-Huayi Brothers Pictures-Universal Pictures,2017-08-04,17.14771506813948,104.0,Released,Celebrate the holidays like a mother.,6.3,2027.0,christmas,0.0,United States of America,English,9.2331,4.4492,3.2429,R,18.68734672736097
Columbus,Drama,en,When a renowned architecture scholar falls suddenly ill during a speaking tour his son Jin finds himself stranded in Columbus Indiana - a small Midwestern city celebrated for its many significant modernist buildings. Jin strikes up a friendship with Casey a young architecture enthusiast who works at the local library.,11.597,Depth of Field-Nonetheless Productions-Superlative Films,2017-08-04,13.458835614025542,104.0,Released,In the middle of all the mess... there was this.,7.0,293.0,library-coma-small town-indiana usa-heart attack-hospital-architecture-east asian lead-intercultural relationship-american midwest-korean american-addiction recovery-father son relationship-mother daughter relationship-korean-asian american,0.0,United States of America,"English, Korean",2.7531,3.4925,2.0702,PG-13,13.831131906867231
All I See Is You,Mystery-Thriller-Drama,en,A blind woman's relationship with her husband changes when she regains her sight and discovers disturbing details about themselves.,8.853,SC Films International-2DUX²-Wing and a Prayer Pictures-LINK Entertainment-SC Films Thailand Co.,2017-08-10,17.216707939626428,110.0,Released,An obsessive love story.,5.143,518.0,barcelona spain-husband wife relationship-married couple-bangkok thailand-thailand-blonde-surgical operation-regaining sight-blind woman,0.0,United States of America,"English, Spanish, Thai",3.862,2.3099,1.0753,R,13.38001810786696
